customer_id,company_name,contact_email,industry,company_size,acquisition_date,acquisition_channel,CAC,geography,seats_tendency,upgrade_tendency,budget_factor,has_trial,trial_start_date,trial_end_date,referred_by_customer_id,Total_Revenue,LTV,LTV_CAC_Ratio,actual_active_months,Monthly_Revenue,CAC_Payback_Months,Churned,Avg_Sentiment_Score,Active_Days,Total_Usage_Events,Usage_Score,Customer_Health_Score,initial_plan_name,initial_billing_frequency
b944c245-6ae9-4457-b370-d8212b7193fb,"Arias, Castillo and Manning",anthony87@example.com,Marketing,Large (201-1000),2022-11-04,Referral,524.8357076505616,Other,3.0,1.5,2.0,True,2022-10-28,2022-11-11,a20d1819-e098-46c4-a8ab-4416caaabebe,59486.0,59486.0,113.34213570622008,25.657894736842106,2318.428717948718,0.2263756067147589,0,0.5,779.0,32562.0,0.516725830087159,0.6449456202411744,Enterprise,monthly
0d9b3f68-80cf-40eb-9b0e-a4550ef4202a,Johnston PLC,bryan10@example.com,Legal,Enterprise (1000+),2024-01-15,Cold Outreach,10493.08678494144,Asia-Pacific,5.0,1.2,3.0,True,2024-01-08,2024-01-17,,15002.0,15002.0,1.4297032234146076,11.447368421052632,1310.519540229885,8.00681444482758,0,0.5,347.0,6285.0,0.18993849722636663,0.5441914193242057,Business,monthly
a8abe153-5705-4994-9b18-7ddb1e2775bd,"Williams, Bentley and Heath",toddlauren@example.org,Marketing,Enterprise (1000+),2023-02-21,Organic Search,1532.3844269050346,North America,5.0,1.2,3.0,True,2023-02-18,2023-03-15,,37796.0,37796.0,24.66482909666264,21.578947368421055,1751.521951219512,0.8748873662919834,0,0.5,656.0,21242.0,0.4048940141898803,0.6331514338911874,Enterprise,monthly
082f339a-8b54-4174-8b3b-4b9ee86ea613,Torres LLC,eboyd@example.net,Media,Medium (51-200),2024-01-04,Social Media,1426.1514928204012,Asia-Pacific,2.0,1.3,1.5,False,,,,4225.0,4225.0,2.9625183728865365,11.578947368421053,364.8863636363636,3.9084812011272287,0,0.5,351.0,2965.0,0.175522429588584,0.4864936426719615,Professional,monthly
9fc7147b-6ba9-4914-b604-e9544004aa7e,Perez PLC,tonyacole@example.com,Real Estate,Enterprise (1000+),2024-10-11,Referral,738.2923312638331,Asia-Pacific,5.0,1.2,3.0,True,2024-10-08,2024-11-02,26ec19be-18a6-4da3-914b-a85d0629a462,3951.0,3951.0,5.351538723470888,1.9078947368421053,2070.868965517241,0.3565133012070756,0,1.0,58.0,487.0,0.028989300647773893,0.6327770153555683,Enterprise,annual
0d768bae-480c-460d-a629-87d4ae7be49c,Lee Group,melissagarcia@example.com,Legal,Small (11-50),2023-11-06,Direct,588.293152152541,Other,1.5,1.0,1.0,False,,,52e9bccd-4c04-4730-9fcc-7653613ece7f,2964.6,2964.6,5.039324338814157,8.68421052631579,341.3781818181818,1.7232886677739299,1,0.6666666666666666,196.0,520.0,0.09245358326989478,0.2796765339844863,Professional,annual
a659be6f-f637-4b23-9177-ccf33e1b0d49,Townsend-Donovan,daviskenneth@example.net,Real Estate,Large (201-1000),2023-11-04,Trade Show,5078.96064077537,Asia-Pacific,3.0,1.5,2.0,True,2023-10-29,2023-11-11,01a33b0b-901d-4a6c-850f-5657834d37af,10761.6,10761.6,2.118858711682613,13.651315789473685,788.3196144578313,6.442768323440026,0,0.5,415.0,5605.0,0.2178026540371535,0.5212353267280718,Business,annual
5fc01dd9-a042-4039-8032-0e728ca94b1e,Ramirez-Diaz,yfranklin@example.net,Technology,Small (11-50),2023-01-05,Paid Search,1288.3717364576455,Europe,1.5,1.0,1.0,False,,,,3013.2,3013.2,2.3387659902294486,6.052631578947369,497.8330434782608,2.587959464193151,1,0.5,125.0,199.0,0.05831352637098249,0.21381592254309406,Starter,annual
48048758-b402-4fd8-ae01-ebadeb7e2560,Fry LLC,bethwebb@example.org,Marketing,Startup (1-10),2024-10-23,Social Media,696.5262807032524,Asia-Pacific,1.2,0.8,0.7,True,2024-10-21,2024-11-16,6f3e25a5-db62-4ef9-b5c4-b6e2fc1cc100,1417.8,1417.8,2.0355297987730037,1.4473684210526316,979.570909090909,0.7110524355502388,0,0.5,43.0,153.0,0.020473683983628,0.39473602423988446,Professional,annual
e7a9c2fc-76d1-47db-8f1c-2c7214d151be,Smith PLC,stephanieanderson@example.net,Media,Small (11-50),2024-02-02,Referral,277.1280021792982,North America,1.5,1.0,1.0,False,,,,313.20000000000005,313.20000000000005,1.130163669990172,1.9078947368421053,164.16000000000003,1.688157908012294,1,0.0,40.0,71.0,0.018696158802500275,0.04222522517626829,Starter,annual
331b2318-087f-49ec-9f4c-e4eabe4567e9,"Gardner, Davis and Castillo",christinemiller@example.net,Finance,Medium (51-200),2022-02-15,Organic Search,726.8291153593769,North America,2.0,1.3,1.5,False,,,,27809.0,27809.0,38.26071274848419,28.388157894736842,979.5986095017381,0.7419662587404758,1,0.5,862.0,11923.0,0.4537742412250906,0.3947224597515129,Professional,monthly
8765f51e-0221-4125-9b02-f495eb5695e4,Mathis LLC,patrickrussell@example.net,Healthcare,Medium (51-200),2023-02-06,Trade Show,3726.713512321487,Latin America,2.0,1.3,1.5,False,,,,3297.0,3297.0,0.884693709108376,22.730263157894736,145.04891461649783,25.692805231771185,0,1.0,570.0,1556.0,0.26908428964197656,0.6804094373661597,Professional,monthly
1261932d-572c-4c43-807b-0c0cdb34d124,Johnson Inc,erikafisher@example.org,Media,Large (201-1000),2023-03-29,Direct,1212.0981135783018,North America,3.0,1.5,2.0,True,2023-03-24,2023-04-16,,4112.0,4112.0,3.3924646478169476,7.467105263157895,550.6819383259912,2.2010856525691374,1,0.5,227.0,2285.0,0.11531319190395803,0.27189317405878377,Business,monthly
0106569e-7d20-42f1-8e73-2fa6ed949b7e,Glass-Curry,david70@example.com,Finance,Large (201-1000),2024-09-05,Organic Search,904.33598776711,Other,3.0,1.5,2.0,False,,,,5391.0,5391.0,5.961279958913149,3.7171052631578947,1450.3221238938054,0.6235414690766496,0,0.5,110.0,396.0,0.05239707953884506,0.4527817111861774,Enterprise,annual
545d009e-381c-423a-a089-c118739d4657,Perez-Cherry,johnsonjohn@example.com,Technology,Small (11-50),2024-03-21,Partner,1413.7541083743483,Asia-Pacific,1.5,1.0,1.0,False,,,,3600.6000000000004,3600.6000000000004,2.5468361001902013,9.177631578947368,392.3234408602151,3.603542284586735,0,0.5,246.0,1336.0,0.11938356757401476,0.4460165180132305,Professional,annual
fc4b99a4-54b0-4631-92b6-02db05847b09,"Webster, Silva and Richardson",deansteven@example.net,Education,Large (201-1000),2022-12-04,Paid Search,2471.8856235379512,Latin America,3.0,1.5,2.0,True,2022-12-02,2022-12-25,,24653.6,24653.6,9.973600625062048,24.210526315789476,1018.3008695652172,2.4274609768263966,0,0.5,715.0,13440.0,0.39376854881907275,0.5940593639252592,Business,annual
440f04c3-1571-42a8-9d8e-98acbfd053ee,"Johnson, Jenkins and Flowers",williamsamanda@example.com,Non-profit,Startup (1-10),2024-01-03,Social Media,669.3584439832788,Europe,1.2,0.8,0.7,False,,,,445.0,445.0,0.6648156962835244,5.625,79.11111111111111,8.460991567204367,1,0.9,100.0,141.0,0.046561734673165364,0.3227620188150456,Starter,monthly
ccdf5ded-d723-4728-9aa5-247903f23cbd,Johnson-Miller,nicholsonmatthew@example.org,Manufacturing,Small (11-50),2022-11-21,Referral,265.7123666297637,North America,1.5,1.0,1.0,False,,,,29.0,29.0,0.10914057319886733,1.0,29.0,9.162495401026336,1,0.5,2.0,5.0,0.00094190548486402,0.1900724973830561,Starter,monthly
